xactid;op
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
